Lat.,Long.,Titolo,Id,Nr. Incendio,Data Incendio,Ora Accertamento,Ora Richiesta,Regione,Provincia,Comune,Località,DMS_lat,DMS_lon
37.26,14.034,,15957,1,30/06/2022,30/06/2022 08:33,09:33,Sicilia,Caltanissetta,Mazzarino,BRIGADIECI,37° 15' 35'' N,14° 02' 02'' E
38.571,15.979,,15958,2,30/06/2022,30/06/2022 14:54,15:03,Calabria,Vibo Valentia,Limbadi,Motta Filocastro,38° 34' 15'' N,15° 58' 44'' E
38.074,14.704,,15959,3,30/06/2022,30/06/2022 15:59,16:18,Sicilia,Messina,San Marco d'Alunzio,s.marco d'alunzio,38° 04' 26'' N,14° 42' 14'' E
38.554,16.129,,15960,4,30/06/2022,30/06/2022 17:22,17:24,Calabria,Vibo Valentia,Dinami,Soreto,38° 33' 14'' N,16° 07' 44'' E
42.553,14.097,,15961,5,30/06/2022,30/06/2022 11:18,17:37,Abruzzo,Teramo,Silvi,Contrada Pianacce,42° 33' 10'' N,14° 05' 49'' E
41.446,13.903,,15962,6,30/06/2022,30/06/2022 17:46,17:53,Lazio,Frosinone,San Vittore del Lazio,MONTE PORCHIO,41° 26' 45'' N,13° 54' 10'' E
37.255,14.64,,15963,7,30/06/2022,30/06/2022 16:15,18:35,Sicilia,Catania,Mineo,Monte Angarello,37° 15' 18'' N,14° 38' 24'' E
44.243,11.087,,15964,8,30/06/2022,30/06/2022 16:00,18:43,Emilia-Romagna,Bologna,Vergato,carbona,44° 14' 34'' N,11° 05' 13'' E
37.873,13.444,,15939,1,29/06/2022,29/06/2022 06:10,06:42,Sicilia,Palermo,Mezzojuso,bvio mezzojuso,37° 52' 22'' N,13° 26' 38'' E
41.136,13.899,,15940,2,29/06/2022,28/06/2022 14:44,07:04,Campania,Caserta,Mondragone,Incaldana,41° 08' 09'' N,13° 53' 56'' E
37.416,14.451,,15941,3,29/06/2022,29/06/2022 07:04,07:23,Sicilia,Enna,Aidone,chiesa annunziata,37° 24' 57'' N,14° 27' 03'' E
37.955,13.229,,15942,4,29/06/2022,29/06/2022 07:45,07:53,Sicilia,Palermo,Monreale,cerasa,37° 57' 17'' N,13° 13' 44'' E
40.825,16.41,,15943,5,29/06/2022,29/06/2022 10:42,11:58,Puglia,Bari,Gravina in Puglia,Madonna della Stella,40° 49' 30'' N,16° 24' 36'' E
40.576,17.862,,15944,6,29/06/2022,29/06/2022 12:19,12:32,Puglia,Brindisi,Brindisi,BOSCO I LUCCI,40° 34' 33'' N,17° 51' 43'' E
37.125,14.429,,15945,7,29/06/2022,29/06/2022 13:04,13:14,Sicilia,Caltanissetta,Niscemi,ULMO,37° 07' 30'' N,14° 25' 44'' E
40.984,15.716,,15946,8,29/06/2022,29/06/2022 12:55,13:14,Basilicata,Potenza,Rapolla,C/da Cerro,40° 59' 02'' N,15° 42' 57'' E
41.576,13.6,,15947,9,29/06/2022,29/06/2022 13:06,13:46,Lazio,Frosinone,Rocca d'Arce,monticelli del carmine,41° 34' 33'' N,13° 35' 59'' E
37.843,14.889,,15948,10,29/06/2022,29/06/2022 13:32,13:52,Sicilia,Catania,Bronte,C.DA TARTARACI,37° 50' 34'' N,14° 53' 20'' E
37.221,14.644,,15949,11,29/06/2022,29/06/2022 13:50,14:17,Sicilia,Catania,Grammichele,Poggio Tenutella,37° 13' 15'' N,14° 38' 38'' E
37.268,14.804,,15950,12,29/06/2022,29/06/2022 14:19,14:43,Sicilia,Catania,Militello in Val di Catania,Piano Di Santa Barbara,37° 16' 04'' N,14° 48' 14'' E
39.56,16.521,,15951,13,29/06/2022,29/06/2022 15:00,15:06,Calabria,Cosenza,Corigliano Calabro,Piano Caruso,39° 33' 36'' N,16° 31' 15'' E
41.687,15.997,,15952,14,29/06/2022,29/06/2022 13:30,15:08,Puglia,Foggia,Monte Sant'Angelo,bacino,41° 41' 13'' N,15° 59' 49'' E
38.112,15.684,,15953,15,29/06/2022,29/06/2022 15:27,15:32,Calabria,Reggio di Calabria,Reggio di Calabria,C.da Pietrastorta,38° 06' 43'' N,15° 41' 02'' E
36.959,15.154,,15954,16,29/06/2022,29/06/2022 13:34,15:33,Sicilia,Siracusa,Avola,Centrale Enel Cassibile,36° 57' 32'' N,15° 09' 14'' E
39.537,16.258,,15955,17,29/06/2022,29/06/2022 16:41,16:45,Calabria,Cosenza,Bisignano,C.da Duglia,39° 32' 13'' N,16° 15' 28'' E
41.456,13.614,,15956,18,29/06/2022,29/06/2022 17:08,17:24,Lazio,Frosinone,Pontecorvo,,41° 27' 21'' N,13° 36' 50'' E
38.077,14.792,,15923,1,28/06/2022,28/06/2022 05:15,06:04,Sicilia,Messina,Castell'Umberto,Bivio Colamarco,38° 04' 37'' N,14° 47' 31'' E
38.123,14.871,,15924,2,28/06/2022,28/06/2022 06:14,06:27,Sicilia,Messina,Sant'Angelo di Brolo,Provvidenza,38° 07' 22'' N,14° 52' 15'' E
37.881,13.465,,15925,3,28/06/2022,28/06/2022 08:10,08:24,Sicilia,Palermo,Mezzojuso,bvio mezzojuso Mezzojuso (PA) - Mezzojuso (PA),37° 52' 51'' N,13° 27' 53'' E
40.545,16.89,,15926,4,28/06/2022,28/06/2022 05:40,08:43,Puglia,Taranto,Castellaneta,Gaudella,40° 32' 42'' N,16° 53' 24'' E
